,agent,train_block,train_nll_hybrid,val_nll_hybrid,test_nll_hybrid,train_nll_lr,val_nll_lr,test_nll_lr
67,13,2,82.55533128037042,79.55689352271837,137.77225359572225,83.03337744939553,81.28538265646793,141.32275644929317
68,14,2,23.530051205803527,2.975396868973176,36.45047024356374,24.270223135167615,6.590615961487523,90.82153672162427
69,15,2,36.73069818045097,89.55826051319373,153.64594463842772,38.31518344665858,132.75028479781483,223.9363721304842
70,16,2,79.98934165749336,86.49341593567388,138.81895988151575,78.30974142976697,87.38163426979452,145.94297297603651
71,17,2,78.25360046455592,93.30908612351915,135.90343426242407,76.5460503249399,93.8309047649139,136.34146712731763
72,18,2,76.89082835894695,83.60533197898515,146.98544067843875,72.81272409786695,88.28800378189285,158.78395447350252
73,19,2,61.63105217549295,73.24846590851374,74.11356146751514,60.26278913897342,76.40989172002422,86.03683552129019
74,20,2,64.07233135436816,96.72837503786361,83.68925094723207,64.8754882004081,103.33075275608198,92.83236317944824
75,21,2,54.843629285778086,121.15368568359656,147.47625760265248,52.597767611353945,120.84432598808492,142.54183762763813
76,22,2,44.8120451841779,57.38716019849443,91.54296428076333,50.39469590844935,49.16990083554468,94.02790772697558
77,23,2,14.292290487549222,43.75831067460039,50.400353462322215,9.798816616791981,322.47530914808607,79.92020946568758
78,24,2,52.857965533130766,24.138053871289532,75.77653003637664,50.17640818063443,43.88706020562357,69.6809103414655
79,25,2,67.72321524162786,73.36865388803072,86.14035044778268,67.16020365085699,77.03783500467674,100.91609577564398
80,26,2,50.38119020055996,81.22013383908983,133.14715012940218,57.83110702326573,91.8456694088686,113.74273472905799
81,27,2,78.72043523830735,77.9923307067883,113.46699956003249,75.48322675095395,86.76393110341346,122.1851980995283
82,28,2,45.10526581888601,62.205388359013114,63.202277332636044,49.68399247231322,72.08028228014983,80.05357635425659
83,29,2,82.58954857049804,81.38752085297217,138.71512310693242,80.16448474722989,91.6666643624774,167.4359926176026
84,30,2,60.385323901222655,86.6082908087859,169.3589866415235,61.11072044240288,92.81321237390748,172.1945342379439
85,31,2,74.38476122507569,41.42773836152176,85.32158471545335,71.51087665687896,57.08110864772016,108.73402756008893
86,32,2,78.03456897104299,85.90188781240514,138.18373305962746,77.25241649081175,80.27538350165462,143.64614564657393
87,33,2,18.92961580295759,52.49978677120978,14.074160358032117,14.957033027024973,149.66505548122637,619.179833383919
88,34,2,31.110809623874374,94.36912943514653,96.01831542133846,35.675442622743105,78.89877011164427,72.0726315008053
89,35,2,52.09730169627116,58.951952548066856,100.15068789896046,52.33213124406649,71.89896699857792,95.81644326055286
90,36,2,64.53772579962128,79.79642026110449,174.36649840204177,67.03604213896116,83.74097901896683,181.08807749388922
91,37,2,82.42613437295076,77.9823377630199,113.23120947869141,76.2590303941362,78.95295676426174,154.67740090641553
92,38,2,76.25111736224606,93.85192380917158,144.25126278283324,77.8583021197398,90.32200674801979,139.437677132556
93,39,2,75.04715688710164,75.93528695401842,99.23797604445461,77.70045823637682,67.06298617508978,102.55663457615867
94,40,2,45.11853472841,93.15465031189149,122.27924545993616,34.60547082138748,175.5965673637148,160.95431900111168
95,41,2,43.55650974949023,24.45622825049626,47.44682434077323,47.84237223687036,42.60420132868715,67.45013060450579
96,42,2,79.74950860660611,72.5782782293038,140.46145944832313,78.61129098122899,81.85170129775707,142.87429515714888
97,43,2,24.9717476079511,49.14729219461956,76.50195026352053,26.316079377875496,48.130355546161276,73.929253370461
98,44,2,30.08436246834295,101.3259699151563,142.84595982968784,25.52285633783498,174.47104206919244,241.52637349188066
99,45,2,42.121099375605525,66.61810581629872,54.39147820213241,45.33729890165239,70.74605845124603,60.64733870384747
100,46,2,67.06410709148612,74.44552845573537,97.39843379247446,66.16050565046811,88.69135990210451,117.6895677123206
101,47,2,82.8009347961986,81.91485628073237,117.6110791748547,80.94089848546619,83.44415402466053,129.02992995727476
102,48,2,80.97954915066418,83.9711835369791,147.56219322394267,77.50617683851617,88.48347376675729,183.30719164245232
103,49,2,56.391927797113084,87.42400409758027,131.05346545087616,53.902277579797214,99.6430930047656,190.11898181836762
104,50,2,39.26667698196473,18.21129875942228,67.49896586669306,43.268335072469384,34.69324653510478,50.00835048686005
105,51,2,74.63462651367405,82.67682630070414,139.89395255985735,71.93409058103991,90.80221686109739,152.94695018361085
106,52,2,22.853799700870308,3.019611051670505,90.59623054522261,26.494604735931443,11.314070256514952,90.52159495237973
107,53,2,82.23175689356458,80.35595795089641,135.05614491699347,76.9158629944358,91.29528147493758,145.81513397274307
108,0,1,115.82544601123409,73.58050860056176,84.94923251009321,111.4849396978894,82.20610019819158,87.487476125409
109,1,1,5.466970788958815,79.76969583991246,136.04888744186792,7.869500960329415,52.34995745536616,61.528486089569
110,2,1,40.175746858224926,36.78025446399039,29.856113077263398,39.53423080335642,41.06497058605997,39.63424401950463
111,3,1,53.846977411057864,59.0352872564702,58.85474679800715,51.58771829016606,63.23817224048291,62.01814637862728
112,4,1,54.96363996154058,34.87908275202442,56.735674828113154,58.48433411309098,38.70716220218573,33.972019507535194
113,5,1,44.373656704529964,45.08618405155913,38.90255315284799,44.7900370642236,56.707033092950496,44.60330227081235
114,6,1,36.51860301198447,88.457366272508,98.69008893540988,38.655031898123774,128.06327336282277,142.93624599762765
115,7,1,72.46080369229645,58.92647995364463,30.240322007299465,66.73485911449811,63.22981926609144,35.28968910423075
116,8,1,56.62616192731089,99.63881675573569,115.54935063935962,57.39766402103594,102.77732402494604,130.25296169603695
117,9,1,89.97504180899283,48.7569095438424,80.32045208058825,102.26095858951153,55.94274373500209,84.42706362663957
118,10,1,58.39301002281502,62.736320904924995,52.038355446275915,59.86835872767658,74.42809782139973,50.14567541514987
119,11,1,116.72051987472412,54.81473910630137,52.50569125848666,119.99581575142324,56.60421745579732,57.80767768065974
120,12,1,110.00363234772212,79.91091043621745,95.65526315783497,108.62523960005174,88.06757270723121,99.52028786723386
121,13,1,135.02420384689867,83.57900930739378,82.08139513762994,134.34655169319603,86.43321075115618,81.94059203376278
122,14,1,33.63668771416924,27.069421687055627,3.7669654349270365,36.26492089943676,107.39787001126929,113.30474293446575
123,15,1,139.03987912606232,71.05285023639446,84.32196873133613,136.9765933568495,81.7703850118845,85.09680766646653
124,16,1,137.42438877354505,82.20156999063622,85.31270744175364,136.34754245583966,83.48485533720626,86.41500053201571
125,17,1,111.91528206092102,92.03803085028281,88.5205818847155,112.49852735174531,90.89605033449371,102.19597574344725
126,18,1,134.99762686942984,89.06557866857344,84.45542825633481,136.59833218560215,86.70750690777321,81.2240666370407
127,19,1,17.169171045449954,107.41761084620693,123.50831190344012,16.825913300487066,106.96162893432289,141.0869945700527
128,20,1,72.20421472685473,71.99672982812656,134.4572680634753,80.05487456776723,71.69902063631794,126.70267459953187
129,21,1,117.02604919693766,62.35148398074184,93.17874110514123,117.36273439229556,66.34278395379245,99.33037916854362
130,22,1,89.34083031734696,46.46944574485543,52.76821838306386,86.31878579665948,55.283615697392904,53.26339890230207
131,23,1,46.50025831370809,15.63371154669472,41.13969736584402,39.05530468063894,17.065201330370957,89.92017237637641
132,24,1,41.492361489417604,67.6948571933925,47.126179451032186,51.69186488167841,61.93182848689129,27.96284255079876
133,25,1,77.23591760159721,74.17385498320971,77.9121692430739,84.86542411242739,76.76892295167471,78.83219228007347
134,26,1,103.62513695874402,62.70316232293931,77.98656746138093,103.74243153640332,63.397697949471514,84.24704414136264
135,27,1,88.4063061544849,87.44880197288879,87.49678584571136,94.31794754545726,92.8553989703419,92.15389588110821
136,28,1,62.203791606800635,44.48206149422501,62.34290711497137,72.3407812104798,54.29614088504241,71.39448008146115
137,29,1,115.05692689552177,91.94632481377721,79.82147669095123,107.66401501191817,100.83875815885857,82.11395576342179
138,30,1,115.52940063154496,76.7996107672478,70.54175728539586,116.35685645593945,80.35906509087683,78.8751432034938
139,31,1,60.767249539629915,79.74676744719038,14.308672137163438,74.22330946718041,93.80754853089786,46.90794748188238
140,32,1,134.25125713120724,80.54763388815155,83.5489211006246,127.2727842336214,87.9760362331906,85.523466577159
141,33,1,7.851140965750977,24.19016182242936,33.64873020941937,5.607377413047706,701.2575325945476,424.1664062598043
