,agent,model,train_block,train_nll_hybrid,val_nll_hybrid,test_nll_hybrid,train_nll_habit,val_nll_habit,test_nll_habit,train_nll_kdh,val_nll_kdh,test_nll_kdh,train_nll_lr,val_nll_lr,test_nll_lr
45,45,hybrid,0,346.32036686517074,346.57349027998276,346.57349027998276,344.7876059417189,348.50128397234715,347.89364895146434,343.5462436364487,355.1379188818501,345.0140630087342,328.7667265729672,351.37671249075225,347.35040333481584
46,46,hybrid,0,321.37138190992664,325.08079256054987,327.6908858125506,337.13314202772403,353.8876026520065,346.50009247933264,341.3550851075199,350.77842710679215,355.71235834211143,305.07593765059204,339.5906201739633,349.9978901998801
47,47,hybrid,0,319.8937727678002,313.62621885972703,322.17162077752073,342.2749892408213,345.08293985415247,341.8502257189034,341.67425651426873,345.7968909176924,335.3334432571415,318.4969157459475,328.6138346059364,326.2382177865325
48,48,hybrid,0,328.44998520961326,333.2118910846443,327.1328660722222,341.3996399150068,346.7827304264892,345.191070904212,343.86210475398923,346.89908365930853,356.16835236380734,306.5367983427078,337.6478606944115,361.5541275666258
49,49,hybrid,0,281.3106320969599,313.5682861007987,279.84052235379573,302.35106520761167,333.6670363669675,305.7562035508148,316.3297946005382,377.1770474236986,354.4407302857048,282.01428897302964,342.12020166583386,322.4972045009393
50,50,hybrid,0,335.9049126871504,343.38251666270736,347.3392507233631,346.57349027998276,346.57349027998276,346.57349027998276,345.7890799944345,346.4617771776541,347.69507795438324,324.73563633147256,358.8991029909106,350.8782903861104
51,51,hybrid,0,344.4071814570964,344.15994324532664,343.29916220345933,345.6252065839657,346.99926019623524,347.7088248415212,345.41171416727593,352.16840518845663,348.0274108066224,321.31064673431945,354.8370523384111,349.8970638971264
52,52,hybrid,0,219.77802807357068,202.0413733760884,232.77393900443911,346.57349027998276,346.57349027998276,346.57349027998276,346.17328505187567,345.70844678562116,346.2372819298076,260.98273312862443,276.1711828757983,288.3587206357049
53,53,hybrid,0,295.7307520666604,280.2384278433443,270.23961625869924,334.60042115774866,326.63989482152476,322.0015903433931,345.7406333891264,350.2321426119982,340.5421115839272,299.65206301779835,324.1019637220335,309.87774102814825
54,54,hybrid,0,274.3165763779553,248.09749465386108,248.93625978726297,327.4366731440775,309.46920544098793,313.3967052513452,339.4859825115889,374.8823449065576,341.5519716031883,278.2788397644997,284.5932199807841,280.2560583469359
55,55,hybrid,0,338.6435958929245,338.68721375976634,325.8090199896466,346.57349027998276,346.57349027998276,346.57349027998276,344.82683732605085,345.37194051498216,345.750955890337,328.7365100006166,351.0373976208113,350.4863109436801
56,56,hybrid,0,311.7492815690415,320.4560930005071,291.3831495933083,332.92743731486473,344.64950959123007,312.34326563278773,340.78297679134994,354.7442260416141,329.95415692671713,316.28268174913796,352.4781509321656,315.00715035994597
57,57,hybrid,0,301.5615478862172,312.7214236398519,310.1533144381482,346.57349027998276,346.57349027998276,346.57349027998276,346.5334888291761,346.35743908420136,346.19744952221004,298.05485581156154,339.3797744786635,348.00853851180824
58,58,hybrid,0,344.230756880699,345.45912342579004,342.481669744859,346.57349027998276,346.57349027998276,346.57349027998276,346.3734615121051,347.14163831633334,345.58933104130057,328.20283482936054,353.9500906965485,349.08205665970365
59,59,hybrid,0,263.31164011148473,269.7912230824056,239.63614178857557,307.07897417104914,314.48931133958627,285.5112231230923,345.92492924380815,346.35760605596994,343.7613557485502,260.35833554004023,318.2425807542058,288.4849382001257
60,60,hybrid,0,338.0858229288851,327.767212428025,342.1016527370033,343.2801893087461,335.74092615311537,342.62446604718764,342.3092810481403,353.796123526436,351.0671066835943,328.00288316678257,344.19617860754124,344.23908585497674
61,61,hybrid,0,332.1409787310965,305.6759364576948,304.0896761518847,346.57349027998276,346.57349027998276,346.57349027998276,346.27737950060583,345.4286463446363,343.1066488013618,317.4342624410168,340.9227458692428,338.13845384890067
62,62,hybrid,0,237.54641240784073,244.5265243683664,226.90133935313673,341.493756080611,332.5278908401883,325.2167276399875,345.7248758763023,352.26081596389514,356.42636249543244,254.6502105032869,279.76522349112633,277.13904809873566
63,63,hybrid,0,316.93235564053487,323.53611640004686,328.72503137032606,333.4341526322641,336.9352954886939,344.72402638981976,341.3268007502695,357.5724283365828,349.9639503460621,302.4940012832841,346.79946941665065,351.94382076850246
64,64,hybrid,0,287.98883178352867,316.52762489840325,329.6716718333985,317.4908107860738,337.99530906796934,347.59891294693136,343.60574886057896,349.88969030426,352.04964001905023,288.7337667156167,336.334992381132,350.6605522020608
65,65,hybrid,0,242.1393839768068,278.40648031027604,281.27233682366517,289.83052593285277,323.2145167380843,328.977064329923,346.42947645279685,346.2852854035636,345.9012971251884,248.6976205241698,314.73211314383184,309.28435531741815
66,66,hybrid,0,331.68332420403505,342.48286401801465,325.8992055815319,344.4061844883057,346.2142914270761,336.9374193113656,345.93311832644156,348.1757155272112,352.7880420825985,324.6651819512662,344.7734996779811,345.85907174345635
67,67,hybrid,0,311.30578292425037,274.5794520979585,313.16457306332495,327.62666614059646,307.24930357026267,336.4955323712338,343.28206034796074,361.7099796405221,341.8545161318495,303.5631305492441,339.10047385819115,338.53420473594883
68,68,hybrid,0,239.03093161077726,229.18897687608091,252.72575200026668,324.9692964305091,314.9496709887601,343.26136137600207,341.8749282980659,359.3785597162699,354.59230570286167,252.17641547405407,274.405672620423,288.02152724055094
69,69,hybrid,0,321.7883444871113,308.1227975434583,324.37851923389417,335.2198430659355,324.9397894471442,337.4422710602251,342.4011624657103,337.12698996069633,358.90976214703767,316.22949113031257,334.8397625118503,344.8242524562243
70,70,hybrid,0,150.39100743955632,195.60061484569366,207.9762486855795,261.366801620725,293.878980112804,303.2135842090166,334.1679404799869,345.46555216112336,357.8721947228764,162.98807854565774,242.63034093996052,261.8530666122778
71,71,hybrid,0,259.4065515107568,264.73882427045544,236.1919312714903,313.11009184984925,302.7753810620201,295.4815365725018,343.64774774355544,356.24029829849326,335.44052362777444,263.9723446333734,295.4137443291712,271.73378454749616
72,72,hybrid,0,287.43828773287873,287.1354681330032,287.08824454986546,332.69195747467404,341.728676881155,332.7837127820924,344.9301886411423,344.5611962946262,356.09119743871815,285.73904953191857,305.4013249684997,313.8885919251237
73,73,hybrid,0,321.7669992097293,334.41678968190234,332.6630857057647,339.6822416515539,343.44884387143435,345.61998367934655,341.22435924856273,354.2866793577166,353.06508983830247,300.113623786787,346.51605701279175,350.1655637865242
74,74,hybrid,0,301.53940108645827,274.8472716502398,235.19509981781766,329.63758413939865,298.90827155931385,276.56940841067114,342.2006805160407,368.4986417886567,368.53121174770934,301.86805217326355,327.28354561399215,295.93231323505626
75,75,hybrid,0,330.3163992932763,317.47643588470146,332.49611769769615,344.8787636592532,346.22803668682855,346.54279188679124,343.1005338693926,348.52361978005365,354.03785754946705,316.2057464529246,343.97625964867655,345.3992197060297
